,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
12142,PRESERVED_SPECIMEN,Swartzia picramnioides,1531863,GBIF,,Manuel Vargas,,8.688811,-83.242312,Sendero Fila San Josecito,1996.0,1,1,1,,WGS84,2019,Eida Fletes
12143,PRESERVED_SPECIMEN,Swartzia picramnioides,1531862,GBIF,,Manuel Vargas,,8.688811,-83.242312,Sendero Fila San Josecito,1996.0,1,1,1,,WGS84,2019,Eida Fletes
12145,PRESERVED_SPECIMEN,Swartzia picramnioides,1531865,GBIF,,Manuel Vargas,,8.688811,-83.242312,Sendero Fila San Josecito,1996.0,1,1,1,,WGS84,2019,Eida Fletes
12147,PRESERVED_SPECIMEN,Swartzia picramnioides,1531864,GBIF,,Manuel Vargas,,8.688811,-83.242312,Sendero Fila San Josecito,1996.0,1,1,1,,WGS84,2019,Eida Fletes
12891,PRESERVED_SPECIMEN,Swartzia picramnioides,1561194,GBIF,,Manuel Vargas,,9.706667,-84.393056,Santa Rosa de Puriscal. Bosque primario en las margenes del rio Negro.,1992.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
12893,PRESERVED_SPECIMEN,Swartzia picramnioides,1561193,GBIF,,Manuel Vargas,,8.680556,-83.580556,Tierras del Grupo de Conservacion de Rancho Quemado. Sierpe.,1991.0,1,1,1,,WGS84,2019,Juan Marin
13750,PRESERVED_SPECIMEN,Swartzia picramnioides,1593695,GBIF,,Manuel Vargas,,8.716667,-83.580557,"Bahia Chal, entrada a Chocuaco.",1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
14423,PRESERVED_SPECIMEN,Swartzia picramnioides,1578797,GBIF,,Manuel Vargas,,9.709722,-84.226389,"Hda. Tiquires. Bosque primario y paredones alterrados en la cima de la Fila Zoncuano, por sendero a Tiquiritos.",1995.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
14757,PRESERVED_SPECIMEN,Swartzia picramnioides,1586840,GBIF,,Manuel Vargas,,9.681944,-84.393889,"Mastatal de Puriscal, Quebrada Camaron y Quebrada Grande.",1993.0,1,1,1,,WGS84,2019,Victor Ramírez
18017,PRESERVED_SPECIMEN,Swartzia picramnioides,3434416,GBIF,,Manuel Vargas,,9.697222,-84.38194399999999,Mastatal. Camino a Alto Concepci.Ribera Quebrada Grande.on,2000.0,1,1,1,,WGS84,2019,L. Acosta
18020,PRESERVED_SPECIMEN,Swartzia picramnioides,3434417,GBIF,,Manuel Vargas,,9.697222,-84.38194399999999,Mastatal. Camino a Alto Concepci.Ribera Quebrada Grande.on,2000.0,1,1,1,,WGS84,2019,L. Acosta
18021,PRESERVED_SPECIMEN,Swartzia picramnioides,3434415,GBIF,,Manuel Vargas,,9.697222,-84.38194399999999,Mastatal. Camino a Alto Concepci.Ribera Quebrada Grande.on,2000.0,1,1,1,,WGS84,2019,L. Acosta
18788,PRESERVED_SPECIMEN,Swartzia picramnioides,3751449,GBIF,,Manuel Vargas,,9.216667,-83.8,"Above the valley of the Rio Grande de Orosi. Sendero Arboles Caidos, primary forest. Premontane wet forest.",2002.0,1,1,1,,WGS84,2019,Jose González; Claudia Aragón
18789,PRESERVED_SPECIMEN,Swartzia picramnioides,3751450,GBIF,,Manuel Vargas,,9.216667,-83.8,"Above the valley of the Rio Grande de Orosi. Sendero Arboles Caidos, primary forest. Premontane wet forest.",2002.0,1,1,1,,WGS84,2019,Jose González; Claudia Aragón
20741,PRESERVED_SPECIMEN,Swartzia picramnioides,4057365,GBIF,,Manuel Vargas,,9.689306,-84.368111,"La Cangreja, sendero Río Negro.",2005.0,1,1,1,,WGS84,2019,B. M. Torke; Daniel Santamaría
22950,PRESERVED_SPECIMEN,Swartzia picramnioides,4234070,GBIF,,Manuel Vargas,,9.752194,-84.560889,P. N. Carara. Sendero paralelo a la calle.,2006.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Guillermo Villalobos
22951,PRESERVED_SPECIMEN,Swartzia picramnioides,4234068,GBIF,,Manuel Vargas,,9.752194,-84.560889,P. N. Carara. Sendero paralelo a la calle.,2006.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Guillermo Villalobos
22952,PRESERVED_SPECIMEN,Swartzia picramnioides,4234069,GBIF,,Manuel Vargas,,9.752194,-84.560889,P. N. Carara. Sendero paralelo a la calle.,2006.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Guillermo Villalobos
23761,PRESERVED_SPECIMEN,Swartzia picramnioides,4374947,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
23763,PRESERVED_SPECIMEN,Swartzia picramnioides,4374946,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
23767,PRESERVED_SPECIMEN,Swartzia picramnioides,4374948,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
23886,PRESERVED_SPECIMEN,Swartzia picramnioides,4401489,GBIF,,Manuel Vargas,,8.680667,-83.57602800000001,"Área de Conservación Osa, Reserva Forestal Golfo Dulce, Rancho Quemado, Fila Rancho Quemado. Sendero a Cero Brujo.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; William Montero ; Guillermo Villalobos ; Jose Antonio Azofeifa Zuñiga
23888,PRESERVED_SPECIMEN,Swartzia picramnioides,4401490,GBIF,,Manuel Vargas,,8.680667,-83.57602800000001,"Área de Conservación Osa, Reserva Forestal Golfo Dulce, Rancho Quemado, Fila Rancho Quemado. Sendero a Cero Brujo.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; William Montero ; Guillermo Villalobos ; Jose Antonio Azofeifa Zuñiga
23889,PRESERVED_SPECIMEN,Swartzia picramnioides,4401491,GBIF,,Manuel Vargas,,8.680667,-83.57602800000001,"Área de Conservación Osa, Reserva Forestal Golfo Dulce, Rancho Quemado, Fila Rancho Quemado. Sendero a Cero Brujo.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; William Montero ; Guillermo Villalobos ; Jose Antonio Azofeifa Zuñiga
30590,PRESERVED_SPECIMEN,Swartzia picramnioides,81888,GBIF,Zúñiga Villegas 330,Manuel Vargas,,9.75,-84.563889,Reserva Biológica Carara. Sector Bijagual. Sitio Quebrada Máquina.,1990.0,1,1,1,,WGS84,2019,Rodolfo Zúñiga|Gerardo Varela
30614,PRESERVED_SPECIMEN,Swartzia picramnioides,84245,GBIF,Grayum 9201,Manuel Vargas,,8.675,-83.2,"Refugio Nacional Golfito Both slopes of Fila Gamba and along crest of same, to ca. 0.7 km N of Golfito/Villa Briceño road.",1988.0,1,1,1,,WGS84,2019,Michael H. Grayum|Gerardo Herrera Ch.
31243,PRESERVED_SPECIMEN,Swartzia picramnioides,900583,GBIF,Zamora Villalobos 1476,Manuel Vargas,,9.7,-84.333333,Z.P. La Cangreja; Faja Costeña del Valle de Parrita. Mastatal de Puriscal,1987.0,1,1,1,,WGS84,2019,Nelson Zamora|Isidro A. Chacón G.|Solis
31266,PRESERVED_SPECIMEN,Swartzia picramnioides,901002,GBIF,Hammel 18246,Manuel Vargas,,8.8,-83.26,Carretera Interamericana 3 km N de Chacarita; bosque primario en una fila a lo largo de la carretera.,1991.0,1,1,1,,WGS84,2019,Barry E. Hammel|M. Nepokroeff
33314,PRESERVED_SPECIMEN,Swartzia picramnioides,3525988,GBIF,378,Manuel Vargas,,9.68931,-84.3681,"La Cangreja National Park, Along Sendero Rio Negro",2005.0,1,1,1,,WGS84,2019,B. M. Torke & D. Santa Maria
35549,PRESERVED_SPECIMEN,Swartzia picramnioides,3243871,GBIF,Torke 378,Manuel Vargas,,9.689167,-84.36805600000001,"Parque Nacional La Cangreja, along Sendero Río Negro, which departs from Park Reception area, near Little and Big Waterfalls of Quebrada Grande and Quebrada Encanto, respectively. Humid primary forest on red clay soils, near waterfalls",2005.0,1,1,1,,WGS84,2019,Benjamin M. Torke|Daniel Santamaría
45197,PRESERVED_SPECIMEN,Swartzia picramnioides,107300,GBIF,Aguilar Fernández 568,Manuel Vargas,,8.7,-83.59,Reserva Forestal Golfo Dulce Rancho Quemado. Tierra de los conservacionistas de Rancho.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
46082,PRESERVED_SPECIMEN,Swartzia picramnioides,1258037,GBIF,Aguilar Fernández 4414,Manuel Vargas,,8.71,-83.56,"R.F. Golfo Dulce, Península de OSa. Bahía Chal, entrada a Chocuaco.",1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
48900,PRESERVED_SPECIMEN,Swartzia picramnioides,1783809,GBIF,Fletes Almengor 409,Manuel Vargas,,8.67,-83.24,"R.F. Golfo Dulce, Serranias de Golfito, Sendero a San Josecito.",1996.0,1,1,1,,WGS84,2019,Eida Fletes
51180,PRESERVED_SPECIMEN,Swartzia picramnioides,2185728,GBIF,Poveda Álvarez 3909,Manuel Vargas,,9.69,-84.33,"Zapatón de Puriscal, en bosque secundario avanzado",1984.0,1,1,1,,WGS84,2019,Luis J. Poveda Álvarez|Nelson Zamora|Pablo E. Sánchez V.|Óscar Castro
